geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	w1118_vs_sdPc_change
CG42514	656.595994070285	2.19233609747584	0.239252735232884	9.16326450914704	5.03506016626656e-20	2.12640354626322e-18	enriched in absence of sd and Pc
CG13033	5.60653484313875	-6.52229801216512	1.72743438916871	-3.77571388705758	0.00015955004816811	0.000679075347276705	depleted in absence of sd and Pc
Mipp1	11.4620637780264	-3.16058859612194	0.928245177174421	-3.40490710196068	0.000661865653153278	0.00240948600772647	depleted in absence of sd and Pc
CG13032	13.0293392700727	-8.06487879764681	1.3798716415561	-5.84465870213255	5.07607906739746e-09	5.27902717243292e-08	depleted in absence of sd and Pc
CG9701	36.0264646200544	-4.82891520479836	1.25432296959211	-3.84981804675764	0.000118205603105168	0.000520724632186139	depleted in absence of sd and Pc
CG13028	52.1065596244644	-3.360803338645	0.946225658028118	-3.55179899227075	0.00038260702357535	0.00148070251249178	depleted in absence of sd and Pc
CG11905	1013.19523489889	-1.40087504430118	0.29023321956629	-4.82672192519718	1.387987093856e-06	9.36027483391535e-06	depleted in absence of sd and Pc
Ilp8	755.096232354845	5.28533421418141	0.619829179048379	8.52708196522138	1.50085528186583e-17	4.88856293715067e-16	enriched in absence of sd and Pc
TpnC73F	276.00787967556	-3.0888250737044	0.657017083357867	-4.7012857838005	2.58528387171507e-06	1.63896963259928e-05	depleted in absence of sd and Pc
noe	108.811631418589	1.95949392039186	0.315867687901299	6.20352760173481	5.52113514479799e-10	6.62238099927336e-09	enriched in absence of sd and Pc
Ccn	32.2272823155568	2.35135855686014	0.414639757813688	5.67084683161687	1.42093394337824e-08	1.37476596769183e-07	enriched in absence of sd and Pc
CG6034	7.7614904246298	-4.7138448281857	1.27002360629877	-3.71161985084929	0.000205937117116171	0.000849997606766746	depleted in absence of sd and Pc
CG32191	11.2610653093702	-2.99270120152238	1.064397792778	-2.81163792505775	0.00492899533399708	0.0141793191335679	depleted in absence of sd and Pc
