geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	w1118_vs_PcKD_change
CG17684	85.7111839574411	1.39673058686847	0.25759884802527	5.42211503496884	5.88979576543783e-08	1.59569837126584e-06	enriched in absence of Pc
ap	1321.32554198699	1.58833080770358	0.265500859139659	5.98239422972294	2.19881293540775e-09	8.04215831125383e-08	enriched in absence of Pc
CG43366	679.59686083439	1.07400412853648	0.145510168500583	7.38095584386724	1.57157127184932e-13	1.17477820401525e-11	enriched in absence of Pc
Cyp6w1	5.49032957823712	-5.5235222053741	2.14305139553483	-2.57741005039948	0.00995437857470434	0.0452676691756426	depleted in absence of Pc
Epac	112.153620606984	1.04315127983299	0.287323419394238	3.63058215732033	0.000282782670913458	0.0025537718984345	enriched in absence of Pc
Tsp42Ea	265.807431999002	1.12887247178953	0.167928408345758	6.72234366364757	1.78824564743017e-11	9.53824149756896e-10	enriched in absence of Pc
Tsp42Ed	27.7162332406885	-2.03831172846948	0.659189907155829	-3.09214644572468	0.00198714789568881	0.0123635368163725	depleted in absence of Pc
Ady43A	555.337860211356	-1.76235144317067	0.114522519866936	-15.388689012592	1.94942014585299e-53	6.65467057122682e-50	depleted in absence of Pc
sPLA2	38.7205159143607	-2.25668738132512	0.626002330159785	-3.60491850046166	0.000312250901764351	0.00276383879426856	depleted in absence of Pc
CG2065	12.2374044618759	-1.44901965129357	0.555340627009589	-2.60924481447772	0.00907422977537657	0.0422021739916582	depleted in absence of Pc
CG18853	4.28329110054396	5.2749237446542	1.41531371257	3.72703500136073	0.000193745561365676	0.00183717434624619	enriched in absence of Pc
Dgk	59.3127861556118	1.11407727277695	0.303385429406095	3.67215154319659	0.000240516979599127	0.00222706545033875	enriched in absence of Pc
CG8708	11.773865770363	-3.81144472623665	0.973332659768384	-3.91587057927721	9.00785633138441e-05	0.000966975436999033	depleted in absence of Pc
Lcp1	640.474933326665	-2.89640622386635	0.957089613372755	-3.02626439927553	0.00247595692245023	0.0148282309022297	depleted in absence of Pc
Lcp3	13.3667297216761	5.48866817228391	1.38119895586995	3.97384326780559	7.0722110345725e-05	0.000785537019577624	enriched in absence of Pc
Lcp4	1054.69724790443	-2.82648637387806	0.872970287716541	-3.23778072822089	0.0012046335719011	0.00829725489999107	depleted in absence of Pc
mtt	20.4366526039881	1.58868430089194	0.613934511076664	2.58770971859172	0.00966163621950548	0.044152082340007	enriched in absence of Pc
Cyp6a13	21.7164623658021	-1.2458783039124	0.489803911013744	-2.54362669610745	0.0109708262508295	0.04895522075588	depleted in absence of Pc
CR44281	4.30318817692837	-2.44549423791264	0.913283858414368	-2.67769348530749	0.00741310227876075	0.0360140324652698	depleted in absence of Pc
PPO2	2240.48733059367	-1.25584988059007	0.264672151224213	-4.74492641096265	2.08582150220266e-06	3.75411212725087e-05	depleted in absence of Pc
Cyp4p2	292.254665245065	10.5046869416235	1.18195572423266	8.88754690743027	6.24728490904109e-19	1.01553086910301e-16	enriched in absence of Pc
Cyp4p1	40.3600310475482	3.25354371784147	0.439975060668328	7.39483668210487	1.41582180651677e-13	1.08204709854763e-11	enriched in absence of Pc
l(2)03659	288.418008089204	-1.41754725210997	0.145959807450042	-9.71190135746889	2.68285055036557e-22	6.77345197208033e-20	depleted in absence of Pc
sqa	34.5295445734348	-1.91368870077226	0.607550190253922	-3.14984462431399	0.0016335731578168	0.0106151159322347	depleted in absence of Pc
trpl	6.12657556334491	-6.18435492148598	1.70884586362511	-3.61902442644336	0.000295715727902799	0.00264722444882217	depleted in absence of Pc
CG18446	13.4480850885184	-1.76971362312504	0.681351714793696	-2.59735696660114	0.00939442371456265	0.0433367087970621	depleted in absence of Pc
CG12896	8.61659217802282	-3.28090004750503	0.902404539963314	-3.6357308748008	0.000277193606432761	0.0025166132300336	depleted in absence of Pc
Spn47C	526.923501172	1.69817430192187	0.169010447923791	10.0477474782363	9.3991249896373e-24	2.67378997274655e-21	enriched in absence of Pc
CG13229	12.2196045163916	-2.52816280313244	0.63143746306141	-4.00382136162005	6.23274362591206e-05	0.000706860769357313	depleted in absence of Pc
Listericin	192.163651271747	-3.17326021103757	1.13036601582164	-2.80728557531075	0.00499609288697791	0.0263194378886527	depleted in absence of Pc
Or47a	4.65820897131702	-2.90563652625548	1.01260503003313	-2.86946681092471	0.00411164480357303	0.0225052669339345	depleted in absence of Pc
Cpr47Eb	32.4308710858488	-2.85081778966242	0.868339332786156	-3.28306882116612	0.00102683594154408	0.0072618130672387	depleted in absence of Pc
CG18335	10.6380264544969	-2.64661409670983	0.665140585711278	-3.97902962706694	6.91971184789885e-05	0.000772789193395116	depleted in absence of Pc
CG8888	180.021665571998	-1.63519185063793	0.620640479990645	-2.63468449667121	0.00842155219909371	0.0398729154280715	depleted in absence of Pc
jeb	187.830500113732	1.70052350722174	0.229589063981704	7.40681406043475	1.29369646646657e-13	1.00369284190032e-11	enriched in absence of Pc
Cyp6g2	268.124463109992	-1.61868314876357	0.616318079144727	-2.62637622282611	0.00862993730371781	0.0405491732397502	depleted in absence of Pc
CR44316	3.4326648481249	5.67521343794604	1.8108552322148	3.13399621183681	0.00172443082173576	0.0110859359983653	enriched in absence of Pc
Cpr49Ah	107.365154696178	-2.44382368234889	0.394171199857008	-6.19990421226975	5.64975354449136e-10	2.36159698159739e-08	depleted in absence of Pc
CG30054	23.9454237061991	1.19332925635696	0.441632876445339	2.70208428765982	0.00689062918899476	0.0338868501259485	enriched in absence of Pc
CG8646	12.3455068023315	-1.96248830092614	0.600098052090652	-3.27027940532238	0.00107441304391823	0.00752394073381575	depleted in absence of Pc
vg	390.090026230286	1.84585819993847	0.332966882241773	5.54366905053987	2.96198432034804e-08	8.81793064671056e-07	enriched in absence of Pc
CG44250	19.3338714415833	2.21825180052572	0.760510506731848	2.91679310264659	0.00353650273575593	0.01997646139927	enriched in absence of Pc
Su(z)2	506.522220646035	1.17269877107365	0.121645180477838	9.64032250572638	5.40179967903816e-22	1.31713882173881e-19	enriched in absence of Pc
CG30059	20.3136612536904	-2.35016141898426	0.614359746663146	-3.82538314358811	0.000130568858475175	0.00132522862204585	depleted in absence of Pc
CG13332	2.40736288248837	3.84553293074814	1.45222448658229	2.64802925875346	0.00809625177065548	0.0386724414101132	enriched in absence of Pc
Sox15	895.986944708567	2.13389626154252	0.426733282649999	5.00053862283976	5.71703736321985e-07	1.18279150781282e-05	enriched in absence of Pc
Arc1	784.094074629474	1.3846845727367	0.287964058863062	4.80853262800817	1.52042215437356e-06	2.87054938261461e-05	enriched in absence of Pc
Arc2	101.522269304745	1.20092948633609	0.248702421660671	4.828780830991	1.37371500024766e-06	2.61794697177915e-05	enriched in absence of Pc
Uhg5	378.725562495817	-1.05026862040087	0.154973107814959	-6.77710239672623	1.22609992380974e-11	6.71470017098159e-10	depleted in absence of Pc
CG10205	22.7982423004723	-4.28187238353984	1.17642000950372	-3.63974800577063	0.000272904982187383	0.00248870874673285	depleted in absence of Pc
Cyp6a20	15.8947236877325	-4.23331570909125	1.21822016065549	-3.47500053423301	0.00051085233368054	0.0041389547066633	depleted in absence of Pc
Cyp317a1	4.37155147583399	-2.37601893431	0.883239763088702	-2.69011771616919	0.00714268185994162	0.0349156109439915	depleted in absence of Pc
ItgaPS4	12.6245736782053	-2.75476033528393	0.73844895388802	-3.73046819388096	0.000191124271223322	0.00181905544758182	depleted in absence of Pc
CG8192	31.7438768421856	1.44099425046262	0.467059613902086	3.08524695257575	0.00203383206720963	0.0125775810388248	enriched in absence of Pc
CR45143	33.7232467188863	-1.09238583537929	0.372371622679394	-2.93359044794833	0.00335066012110675	0.0191266157707958	depleted in absence of Pc
CG30090	24.6837066648155	-2.03526188600363	0.578611522607869	-3.51749283669718	0.000435644108687546	0.00362129165346523	depleted in absence of Pc
CG33460	48.6291695573904	-1.35252593247866	0.476447372076942	-2.83877299308567	0.00452873623732355	0.024409888319174	depleted in absence of Pc
CG8249	52.2241087539575	-1.90819101067755	0.31851835449526	-5.9908353278459	2.08765944200453e-09	7.69054688689511e-08	depleted in absence of Pc
CG8401	9.66357592503944	-2.50952897220014	0.781372897010122	-3.21169185903773	0.00131955827121925	0.00889637673176847	depleted in absence of Pc
Asph	117.519355091302	-1.10696891223446	0.329305792159291	-3.36152275055947	0.000775139707440116	0.00582834489272704	depleted in absence of Pc
Ptp52F	39.2124317962948	2.14035706287633	0.770592657741964	2.77754666018767	0.00547709755178424	0.028273235110088	enriched in absence of Pc
