geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	w1118_vs_vgPc_change
CG7296	58.715094016084	-2.71049652643864	0.69473450890445	-3.9014853756335	9.56042383384274e-05	0.000512488549818974	depleted in absence of Pc and vg
CG7294	98.2422222643421	-1.56657406083749	0.403952495127846	-3.87811457964058	0.00010526913824317	0.000557304250937506	depleted in absence of Pc and vg
CG7300	23.5040615818965	-6.89798137019073	1.26266697491845	-5.46302509467014	4.68088398584327e-08	5.14758202284764e-07	depleted in absence of Pc and vg
CG6495	181.073241582888	-1.07278975516052	0.180321376261881	-5.94932102560325	2.69257080445172e-09	3.65815618330305e-08	depleted in absence of Pc and vg
CG17134	206.94300578456	-8.54820707438434	1.31557290233428	-6.49770686156342	8.15535132564031e-11	1.4242372197152e-09	depleted in absence of Pc and vg
dpr2	10.1663052625315	-4.58021522777998	1.45405010227147	-3.149970706391	0.00163286834103728	0.00609622476097514	depleted in absence of Pc and vg
AstC	4.85237354076807	-3.71134630632676	1.36951934248057	-2.70996267902614	0.00672907793197974	0.0203484531964332	depleted in absence of Pc and vg
CG6201	37.0538152765171	-1.95635298276943	0.648412709804695	-3.01714163400451	0.00255170556530681	0.00895192473590104	depleted in absence of Pc and vg
CG14926	2.89251887195014	-5.89400794654035	1.86182625187911	-3.16571320261041	0.0015470324280528	0.00582076191679622	depleted in absence of Pc and vg
spz4	26.3012310179721	-2.01694915451155	0.42156759558594	-4.78440272836478	1.7149652360623e-06	1.38230180529346e-05	depleted in absence of Pc and vg
CG31706	14.7180274642054	-3.07808668580484	1.12039254669518	-2.7473287776541	0.00600828714224764	0.0185372348024846	depleted in absence of Pc and vg
Mal-B2	84.3885913708093	-1.5810479031593	0.550569001948516	-2.87166167649073	0.00408319854508448	0.0134296968434271	depleted in absence of Pc and vg
Crys	3.31332019220084	5.56599256130828	1.45447812658264	3.82679702058209	0.000129821478850251	0.000672854486976079	enriched in absence of Pc and vg
Ada1-1	5.98920826915348	-6.99445256365839	1.50019904153158	-4.6623497082878	3.12619375339464e-06	2.3685289235303e-05	depleted in absence of Pc and vg
Rh5	9.21291522787999	-2.29393937615785	0.653212800876934	-3.51177958098533	0.000445117003705936	0.00198630556856643	depleted in absence of Pc and vg
dmGlut	241.15670628072	-1.92406491623943	0.161761933134842	-11.8944233600099	1.26523883395045e-32	2.13313024327368e-30	depleted in absence of Pc and vg
CG14945	49.4820313358728	-1.59809406653982	0.405692336216544	-3.93917736145455	8.17614725548533e-05	0.000447131795010712	depleted in absence of Pc and vg
