geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	w1118_vs_vgPc_change
alpha-Est1	44.2664183860956	-3.05391526622181	0.775618346575474	-3.93739431217108	8.23711917043596e-05	0.000449801782822184	depleted in absence of Pc and vg
Nlg1	17.2540053976983	-1.23135517194801	0.52106385929408	-2.36315597404167	0.0181200415727088	0.0465193832607945	depleted in absence of Pc and vg
pyd3	39.1780007388797	-2.92618450795286	0.659407195610181	-4.43759869081369	9.09680170634229e-06	6.24766994386442e-05	depleted in absence of Pc and vg
CG2993	12.6491100699949	-2.76986113374611	1.15007397170427	-2.40841998157868	0.0160217380783244	0.0419998689723741	depleted in absence of Pc and vg
CG2678	15.5701787669582	-3.17748962247797	0.627306100723298	-5.06529367212314	4.0777122762803e-07	3.7523736746185e-06	depleted in absence of Pc and vg
Os-C	30.5022245010194	-1.18193140073638	0.368484352518204	-3.20754841463177	0.0013387152541454	0.00512551200544396	depleted in absence of Pc and vg
grn	566.521350209809	2.47446293373091	0.164835034618986	15.011753656925	6.14999756878443e-51	3.41540114982444e-48	enriched in absence of Pc and vg
CR45550	4.07251181911205	5.47571419848849	1.63511598558589	3.34882310903862	0.000811555914534909	0.00333206831326603	enriched in absence of Pc and vg
ato	612.095527273645	-1.73120300347734	0.122353010415032	-14.1492473099351	1.88766874427085e-45	7.22977129055735e-43	depleted in absence of Pc and vg
CG9626	19.745124786181	-1.84945511672433	0.643744986795726	-2.87296236034409	0.00406642561237211	0.0133824560819606	depleted in absence of Pc and vg
Ctr1B	6.38300729532238	-4.0423574707281	1.49499964984574	-2.70391867392423	0.00685270586723569	0.0206436137964163	depleted in absence of Pc and vg
CG45263	165.197849186991	1.3204338549794	0.221861594598941	5.95161076601087	2.65516229274283e-09	3.61851381417112e-08	enriched in absence of Pc and vg
Cyp313b1	7.65546881987505	-2.65505809593105	0.776668553207365	-3.41852143358529	0.000629623586884787	0.00268454095183468	depleted in absence of Pc and vg
CG42489	8.95395733263038	-3.25703089780407	0.925883322372901	-3.51775522800949	0.000435213602588812	0.00194758963898224	depleted in absence of Pc and vg
CG8112	57.8055592701186	-1.14629174233383	0.446503674136374	-2.56726161223866	0.0102505244139577	0.0291332074375199	depleted in absence of Pc and vg
ouib	74.6307410324288	-1.76507878998099	0.586792661140944	-3.00801101797868	0.00262963604031697	0.00917605010989653	depleted in absence of Pc and vg
Pif1A	8.82603106573009	-1.67509778471885	0.706426873586471	-2.37122602119384	0.0177291856007398	0.045731087893037	depleted in absence of Pc and vg
CG8369	160.121753001821	-2.71856587776287	1.00003766106247	-2.71846349753926	0.00655858919985751	0.0199414865159642	depleted in absence of Pc and vg
CAHbeta	17.6173998498353	-1.34349270269025	0.452533464222477	-2.96882509009269	0.00298940703694541	0.0102574432991513	depleted in absence of Pc and vg
CG31100	43.1072718650442	-2.14289867148678	0.575081369729537	-3.7262529865897	0.000194347346315316	0.00096152159266112	depleted in absence of Pc and vg
St2	760.278846610613	-1.00180662216496	0.244208978898682	-4.10225138601718	4.09149385946354e-05	0.000241083407411467	depleted in absence of Pc and vg
sage	135.118981845475	-5.00649491524934	0.969503391889148	-5.16397875152744	2.41755151967779e-07	2.31680282390519e-06	depleted in absence of Pc and vg
CG18473	13.6720980017412	-3.42473404251643	1.13348748610459	-3.02141319114696	0.00251597771587877	0.00884894379045772	depleted in absence of Pc and vg
GstZ2	608.793540316736	-1.48698058174737	0.306414148292227	-4.85284569930903	1.21702380718867e-06	1.01254557501458e-05	depleted in absence of Pc and vg
CG8319	258.925532039572	1.00455983024274	0.0986682317312355	10.1811881353979	2.40605457567969e-24	2.10425576158065e-22	enriched in absence of Pc and vg
Dh44	24.4063177945608	-3.84160388238041	1.36694413958363	-2.81035908574183	0.00494862537270325	0.0157762290512672	depleted in absence of Pc and vg
Fst	7.75605867937263	-5.4413760384161	1.57485294900832	-3.4551645230385	0.000549957122457081	0.00239075293899444	depleted in absence of Pc and vg
CG9444	39.6476660960787	-2.7588456177756	0.831230521253191	-3.31898979553382	0.000903437307919367	0.00365554760621509	depleted in absence of Pc and vg
Unc-115b	1.5175444353595	4.07894256643089	1.59199221755783	2.56216237833632	0.0104022671367002	0.029489020185638	enriched in absence of Pc and vg
CG34409	18.8896681119201	2.02591214551041	0.550902996992056	3.67743896216201	0.000235587425015053	0.00113916827585642	enriched in absence of Pc and vg
CG3940	153.702280181086	-1.47640741057026	0.295778157165091	-4.99160392613507	5.98799489747086e-07	5.31219323691764e-06	depleted in absence of Pc and vg
Syn	58.3428046156069	-1.4725736510468	0.519893433735008	-2.83245287494317	0.00461923744453495	0.0148755785144824	depleted in absence of Pc and vg
CG3999	49.5349855966755	-4.20409587130072	1.75357995981879	-2.39743608368743	0.0165102611657119	0.043107538967457	depleted in absence of Pc and vg
CG6293	52.2195828156771	-2.27719811852887	0.315837863205364	-7.21002255846759	5.59426084820845e-13	1.35077076610981e-11	depleted in absence of Pc and vg
Cyp12e1	60.5651281748127	-2.84356094038521	0.415755592737559	-6.8395013562215	7.94693065277826e-12	1.61956988551207e-10	depleted in absence of Pc and vg
CG14688	34.0769592228186	-3.00245482584463	0.793349134974468	-3.78453154290167	0.000153998376046862	0.000780424858748747	depleted in absence of Pc and vg
CG45076	251.875445685026	-3.61755682126821	0.84875072440787	-4.26221353011744	2.02411890633809e-05	0.000127738003935779	depleted in absence of Pc and vg
fau	4.04018312650815	-3.14405859421909	1.1012446554943	-2.85500463365051	0.00430362010350626	0.0140630504529697	depleted in absence of Pc and vg
CG45078	16.422518529731	-2.56392489034425	0.764759925205311	-3.35258792444691	0.000800598075781658	0.00328855134160757	depleted in absence of Pc and vg
CG4565	27.4631066131625	-1.09927757871358	0.396012927639467	-2.77586286201842	0.00550554254360046	0.0172448000653611	depleted in absence of Pc and vg
Sodh-2	38.4399716648012	-1.3465170275154	0.566940223406565	-2.37505996562495	0.0175460994007065	0.0453536248647072	depleted in absence of Pc and vg
Ugt86Di	472.121654755993	2.97293119090517	0.13127572191088	22.6464661373063	1.5115954102964e-113	5.59643007405403e-110	enriched in absence of Pc and vg
CG4757	10.8486878820685	3.18390955262958	1.32738591373119	2.39863141509452	0.0164564702417908	0.0429937549801275	enriched in absence of Pc and vg
CR43283	574.192225314578	-5.92523928195792	1.67610891285759	-3.53511590834273	0.000407596326543413	0.00183956619216485	depleted in absence of Pc and vg
CG5281	61.7301481755127	-2.23899544840984	0.321260508085979	-6.96940766778162	3.18278177660933e-12	6.85099945596896e-11	depleted in absence of Pc and vg
sals	72.6754631626381	-2.75937520790427	0.552154233531585	-4.99747179380528	5.80868317758126e-07	5.16549592100841e-06	depleted in absence of Pc and vg
PGRP-LB	15.1379067095709	-1.79197334360489	0.637261754767823	-2.8119894693159	0.00492361152473644	0.015700991445664	depleted in absence of Pc and vg
CG6834	7.47923219000299	-4.26489388856287	1.31707963340412	-3.23814428558116	0.00120309946991272	0.00468213938763861	depleted in absence of Pc and vg
CG6908	32.7636519400603	-3.85805318425204	1.14873068613161	-3.35853584380529	0.00078356558501469	0.00322533776516872	depleted in absence of Pc and vg
sad	1937.27097558219	-1.85845928093025	0.762793516575817	-2.43638578533399	0.0148348534982403	0.0394377017244987	depleted in absence of Pc and vg
CG12224	49.310879535648	-2.98159818790939	1.18460145086418	-2.51696314041678	0.0118371212007941	0.0328086645655062	depleted in absence of Pc and vg
CG4830	1.60187542838825	-5.1017143067551	2.12056276648161	-2.40583037078396	0.016135755020298	0.0422588613559184	depleted in absence of Pc and vg
Cyp313a5	6.36032315181156	-7.05463052278541	1.83525997851094	-3.84394069798724	0.000121074274816946	0.000631644889803576	depleted in absence of Pc and vg
Cyp313a2	5.6593990461378	-6.89820260700419	1.57515945154572	-4.3793678158963	1.19024091628651e-05	7.95427548567645e-05	depleted in absence of Pc and vg
Cyp313a3	1.89810087623613	-5.0142924647206	1.88464945427445	-2.66059688359977	0.00780022827709836	0.0230234215981216	depleted in absence of Pc and vg
CG44956	242.867269330393	-7.71562510709354	1.26302605119166	-6.10884082700738	1.00357354001668e-09	1.46914731775927e-08	depleted in absence of Pc and vg
GstD10	19.2277995782367	-3.23801323510295	0.664700277524918	-4.87138842059768	1.10816739371776e-06	9.27536943634001e-06	depleted in absence of Pc and vg
GstD3	594.736707775392	2.19526882016106	0.161120847061339	13.6249831117467	2.84476076713965e-42	8.77687717795002e-40	enriched in absence of Pc and vg
GstD6	2.11292503162501	-5.38516013818102	1.81745698003602	-2.96301931618448	0.00304637451489306	0.0104239315270848	depleted in absence of Pc and vg
CG5167	319.794906430461	-1.04398523878871	0.191240970584083	-5.45900408055971	4.78812757516343e-08	5.26030988895552e-07	depleted in absence of Pc and vg
Hsp70Bbb	2.95065572992856	-5.82467769335883	1.55918735186031	-3.73571379116771	0.000187183471449433	0.000929390620200649	depleted in absence of Pc and vg
Octbeta3R	47.4506979245495	1.00485207039867	0.38981458931411	2.57776927273742	0.00994403706392594	0.0283929099406235	enriched in absence of Pc and vg
Hug	14.0229918764001	-5.54142085519734	2.04481924635497	-2.70998077951159	0.00672871072366662	0.0203484531633281	depleted in absence of Pc and vg
Octbeta2R	9.54192303840831	-3.14735844716919	1.00132411421153	-3.14319649601917	0.00167113617027935	0.00622027796356994	depleted in absence of Pc and vg
