geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	w1118_vs_PcKD_change
Kaz1-ORFB	22.6103328571315	-2.03110117318359	0.68165021804118	-2.97968242278313	0.00288547362377888	0.016902147812898	depleted in absence of Pc
mthl14	29.2302611870307	-1.22304414655423	0.353399645003833	-3.4607961944641	0.000538580386072019	0.00433275862825102	depleted in absence of Pc
CR43785	15.4437809299205	1.54320416381937	0.483903572361364	3.18907371625468	0.00142729475627925	0.00950385279522483	enriched in absence of Pc
Gr61a	37.4102151589407	2.46288308743972	0.482484200624765	5.10458805542347	3.3151588165513e-07	7.42900250334834e-06	enriched in absence of Pc
cep290	22.9394426025121	1.67797571093423	0.514066960840734	3.26411895483415	0.00109805053105022	0.00765495948841752	enriched in absence of Pc
CG9119	154.320543915732	-1.34760399533217	0.193818809611227	-6.95290616032193	3.57836733422023e-12	2.10609539481318e-10	depleted in absence of Pc
CG9192	276.944863196659	2.37797986742623	0.930729398350328	2.55496374310415	0.010619885932879	0.0477219183144423	enriched in absence of Pc
CR45812	6.06308718548297	-4.0001215124264	1.46898084146963	-2.72305900764812	0.00646805040539446	0.0322332380543283	depleted in absence of Pc
CG7991	471.52612578678	1.10164259988734	0.127231926815626	8.65853899614163	4.77849169052616e-18	6.613045054416e-16	enriched in absence of Pc
CG42494	7.47510233131489	-1.92924045181641	0.688742645323107	-2.80110497718832	0.00509279491043452	0.0266370340540142	depleted in absence of Pc
CG14966	239.962328598703	1.00800028223866	0.12301667164977	8.19401361393069	2.52656469192993e-16	2.90725269775893e-14	enriched in absence of Pc
Drsl5	56.2145594039168	-4.40292715035995	1.15209333576262	-3.82167573901071	0.00013254790482841	0.0013400030536503	depleted in absence of Pc
Drs	39.0031403738818	-3.35939784452221	1.08349838113508	-3.10051025734149	0.00193187522510578	0.0120898370356534	depleted in absence of Pc
CG14984	534.346639849309	-1.06563002726605	0.197737704659243	-5.38910891629103	7.08078856308253e-08	1.86892669264248e-06	depleted in absence of Pc
CG12605	88.4747149201936	1.14412894482893	0.418712682005624	2.73249173955891	0.0062857247654539	0.0314316930288151	enriched in absence of Pc
Cpr64Aa	91.3797431809081	1.7593959096685	0.578365838902161	3.04201215100834	0.00235002407755565	0.0142574624278717	enriched in absence of Pc
CG12607	26.4200681114907	-6.33677175481641	0.998495505298991	-6.34631975926513	2.20526637096999e-10	1.01274138587909e-08	depleted in absence of Pc
CG32249	161.303637579715	-2.54823858901731	0.928186474484325	-2.7453950893144	0.00604380878788068	0.0305350990610193	depleted in absence of Pc
CG11349	39.4368148272266	-2.52598038389154	0.666454431445512	-3.79017718947835	0.000150539859231487	0.00148954463612527	depleted in absence of Pc
CG7465	277.07744543175	-6.13654556150061	0.767069366073086	-7.99998778847848	1.24431551271587e-15	1.24931717311012e-13	depleted in absence of Pc
CG11350	4.98489775473508	-5.04116691782405	1.68941014353636	-2.98398049586208	0.00284524907901124	0.0166885428511764	depleted in absence of Pc
CG13722	87.1729040349445	-1.36173813622528	0.320173467688426	-4.25312611334318	2.108067747125e-05	0.000284436387329474	depleted in absence of Pc
CG15212	114.130357221338	-1.92130435956442	0.221665221609681	-8.66759496872066	4.41343485233539e-18	6.26532187812651e-16	depleted in absence of Pc
CG13285	23.4375227252474	-3.14162554356873	1.17470748688771	-2.67438964902846	0.00748654103393725	0.036301925534352	depleted in absence of Pc
Tektin-C	54.4194176561759	-3.16091004640407	1.13891928716556	-2.77535913389496	0.00551407807142914	0.0284052683750029	depleted in absence of Pc
CG10472	6.19422905721354	-2.30268445871079	0.835521547772205	-2.75598452828722	0.00585157648049286	0.0298139277297151	depleted in absence of Pc
Cpr65Av	2.26605680992801	-5.70211582512918	1.6094454307292	-3.54290721279422	0.000395741916417866	0.00334941567440939	depleted in absence of Pc
Cpr65Aw	7.64080140130264	-3.08992334134828	1.06829321927422	-2.89239254317043	0.0038231993974161	0.0212905845725602	depleted in absence of Pc
