geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	w1118_vs_sdPc_change
CG6865	26.6112061055417	-4.87348223216732	1.4032773879815	-3.47292864112734	0.000514812213439834	0.00192915629375042	depleted in absence of sd and Pc
CG3961	689.214869038534	-1.55836020041395	0.167067690604635	-9.3277173747604	1.08175417763865e-20	4.90409944940102e-19	depleted in absence of sd and Pc
NijB	11.0835391836702	-1.65544284104338	0.632613463738482	-2.61683150285863	0.00887501393209016	0.0236162225739235	depleted in absence of sd and Pc
CG3819	5.33540946402962	-6.36173167271116	2.36757515384683	-2.68702417423778	0.00720917350069469	0.0197282845229086	depleted in absence of sd and Pc
CG32204	31.937449844515	2.13560471636253	0.613014024761267	3.48377790735575	0.000494389553652651	0.00186394595126273	enriched in absence of sd and Pc
CG14075	194.338924414305	-2.83357816389539	1.19562467508896	-2.36995624373892	0.0177901905338034	0.0427418659439659	depleted in absence of sd and Pc
CG9629	134.918023468777	-2.06542676720315	0.332371231007275	-6.214216437878	5.15813897147961e-10	6.19367022229449e-09	depleted in absence of sd and Pc
CG14089	2.99520310905562	-5.88975904202616	1.84410669873471	-3.19382769232783	0.00140399890907897	0.00468013681966991	depleted in absence of sd and Pc
CR45732	18.6775115480482	2.23347640342125	0.527605828513956	4.23322920770609	2.30359513880857e-05	0.000118103392235957	enriched in absence of sd and Pc
CG9449	100.800742205886	-2.35138401861768	0.473504908274249	-4.96591266009809	6.83787256877176e-07	4.89042180433663e-06	depleted in absence of sd and Pc
CG9451	12.8124781067687	-2.7093894587301	1.06179126718635	-2.55171571142202	0.0107193944906048	0.0278048376009218	depleted in absence of sd and Pc
CG9452	5.94999942688054	-4.06162743477659	1.3326301656599	-3.04782792663659	0.00230501875674133	0.00726499526989953	depleted in absence of sd and Pc
Cpr76Bc	2.14312290567057	4.31597605391114	1.70943850272573	2.52479164768387	0.0115766901798541	0.0296614297180253	enriched in absence of sd and Pc
Oat	201.042922952351	-2.25212523260147	0.502160097562324	-4.48487493039401	7.29567153383592e-06	4.22928098780353e-05	depleted in absence of sd and Pc
tey	172.668702489919	5.17379379028256	0.293174801645073	17.6474709328741	1.06416114634349e-69	1.31329309471523e-66	enriched in absence of sd and Pc
Gbeta76C	18.4794678562802	2.8924030710627	0.610102846013984	4.74084507220346	2.12828634931686e-06	1.36640904519436e-05	enriched in absence of sd and Pc
Cyp305a1	4.18891352995279	-3.05770319556675	0.993417285567377	-3.07796455728106	0.00208419701830197	0.00665466041791625	depleted in absence of sd and Pc
Gabat	367.607330276929	-1.16779400750761	0.422604201134974	-2.76332796591067	0.00572152445530056	0.0161373723019358	depleted in absence of sd and Pc
CG7328	50.796556503888	-2.20947288449376	0.305160113018692	-7.24037248065387	4.47454129584633e-13	8.20111058959821e-12	depleted in absence of sd and Pc
CG17145	2.74387101734842	-5.67080945718539	2.29695405588967	-2.46883887060986	0.0135552239575481	0.0339094307424519	depleted in absence of sd and Pc
rdgC	83.0052380517251	1.45295777160587	0.261965707876878	5.54636629115119	2.91667479974875e-08	2.68619461034904e-07	enriched in absence of sd and Pc
CG5618	167.797429809487	-2.97648517779667	0.242067019729533	-12.2961202278706	9.50301149805708e-35	1.52970940157855e-32	depleted in absence of sd and Pc
Toll-9	4.90082922369019	-2.96910528950618	1.09753532162056	-2.7052480508073	0.00682534020203331	0.0188018486170595	depleted in absence of sd and Pc
CR43944	33.2757089044597	1.27231871736618	0.385028921683809	3.30447570484334	0.000951542227916086	0.00331414147048979	enriched in absence of sd and Pc
zye	51.9920378345331	-2.23046287891593	0.593636833853004	-3.75728518131043	0.000171766709318829	0.000724221194734128	depleted in absence of sd and Pc
ZnT77C	157.400471787741	-1.01768048810804	0.270097520208957	-3.76782610710654	0.000164675345186854	0.000698376883921492	depleted in absence of sd and Pc
Rcd2	133.136684652516	1.7265487115536	0.239113595201523	7.22062127039863	5.17505958401641e-13	9.37673520386138e-12	enriched in absence of sd and Pc
CG10512	114.184289426137	-1.75288924754088	0.345665548944634	-5.07105568632079	3.95614980962814e-07	2.96898350915809e-06	depleted in absence of sd and Pc
Eip78C	426.766199343695	-1.43251290883634	0.621682711934103	-2.30425083621785	0.0212085670145387	0.0494465898048869	depleted in absence of sd and Pc
Cpr78Ca	11.9429819409499	-5.85710370896622	1.46770566890265	-3.99065278077542	6.58916867727997e-05	0.000307633024373891	depleted in absence of sd and Pc
CG33288	25.3174129333778	1.91623518847204	0.579521085757389	3.3065840666827	0.000944410075157345	0.0032913594931825	enriched in absence of sd and Pc
Alp1	121.518778798826	-5.2488352940951	0.864135782665798	-6.07408627137602	1.24695680871646e-09	1.40257460903071e-08	depleted in absence of sd and Pc
Est-Q	1.89500728316415	-4.07334613880674	1.59842077407108	-2.54835660602194	0.0108231771601341	0.0280282184000021	depleted in absence of sd and Pc
CG7173	91.2752730501177	2.73901079126591	0.363231028137675	7.54068507117665	4.67508899543004e-14	9.7422539347545e-13	enriched in absence of sd and Pc
Cpr78E	157.955909970936	-1.60515568393095	0.327909437215204	-4.89511890100771	9.82463090151843e-07	6.77356768610585e-06	depleted in absence of sd and Pc
CG11249	7.10907146141342	2.21038519410838	0.808050941183328	2.73545278082524	0.00622945231292289	0.0174151842032808	enriched in absence of sd and Pc
CG32447	1454.138447162	-1.13867523310347	0.226486691949336	-5.02755911750516	4.96762367363001e-07	3.65642121557379e-06	depleted in absence of sd and Pc
CG14569	5.21802126974103	3.09726872284504	1.21313779202736	2.55310546188572	0.010676716272424	0.0277135516797882	enriched in absence of sd and Pc
CG14572	34.9025559692075	-2.81763767787667	0.854557335182736	-3.2971897400824	0.000976575037432075	0.00338857199023994	depleted in absence of sd and Pc
SLC22A	6.00207891423475	-4.49691018005999	1.21025746867063	-3.715664060309	0.000202670710615596	0.00083838494704187	depleted in absence of sd and Pc
CG7470	144.064602078133	-3.05296199906877	0.784985817966209	-3.88919382897716	0.000100577767108686	0.000447204667444425	depleted in absence of sd and Pc
CR43995	16.5817960103842	-1.07683334373345	0.458656067351577	-2.34780137097373	0.0188845889692585	0.0449434603988759	depleted in absence of sd and Pc
CG14456	14.2196462323938	-5.48167088609795	1.5926572128129	-3.4418397392722	0.000577772437547287	0.00214196210408469	depleted in absence of sd and Pc
CG45116	3.71827509142607	-4.09587950676637	1.50349209570184	-2.72424412371412	0.00644488485931412	0.0179047864263136	depleted in absence of sd and Pc
CG11370	1887.81963115745	-3.56317477737312	0.835952073969164	-4.26241514116341	2.02229303477713e-05	0.000105354637604454	depleted in absence of sd and Pc
CR43426	41.7373206451521	1.01673755925013	0.287791400812834	3.53289763480935	0.000411031589781649	0.00158079219795872	enriched in absence of sd and Pc
CG13239	10.7472810179839	-1.86158989198736	0.73587144526415	-2.52977596014629	0.0114135380197971	0.0293653386115095	depleted in absence of sd and Pc
CG11131	29.0712111061454	-8.9178020112352	2.5741621310305	-3.46435133348232	0.000531511836222606	0.00198518824700261	depleted in absence of sd and Pc
AGO3	35.1775581050092	1.6300282813804	0.392295279890523	4.15510551601663	3.25137460545611e-05	0.000162305697720454	enriched in absence of sd and Pc
nvd	417.366394223724	-5.08455595819668	0.633008602925847	-8.03236470198858	9.56116514579668e-16	2.41904012014496e-14	depleted in absence of sd and Pc
