geneid	ead_vs_wd_change	pckd_vs_ead_change	pckd_vs_wd_change
CG4753	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG13028	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG6652	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG45081	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG5665	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG10588	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG33286	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG33285	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG12974	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG7173	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG7140	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG14457	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG42598	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG1315	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG14609	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG44335	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG18744	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG11052	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG7910	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG31463	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG34301	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG11966	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG16749	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG8147	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG8358	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG8534	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG16904	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG9459	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG9458	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG31391	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG14718	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG10014	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG17207	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG5538	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG14395	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG5999	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG31157	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG8773	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG8774	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG14369	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG9269	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG14357	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG14857	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG3987	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG43318	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG17930	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG17562	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG17560	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG14893	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
